,train accuracies,dev accuracies,train loss,dev loss
0,0.45513732902796256,0.45672105736170776,0.841272165108199,0.84169650141217
1,0.4494440155793132,0.4549689569024513,0.7174717739758013,0.7357343837038793
2,0.4530749973460749,0.4576445173684688,0.645806395069822,0.6791770636667274
3,0.43951369786067873,0.442708376276972,0.6100151047558593,0.6542974432010831
4,0.45251638476657313,0.455785229586999,0.5749135153528581,0.626357509645642
5,0.44980268195877193,0.45534411253019796,0.5557799056727697,0.6189894782848436
6,0.4492564371854583,0.4508010191040789,0.5368632622134321,0.6037348838156116
7,0.4464953244539356,0.45386410296579077,0.5224279327939017,0.5924951075056805
8,0.44404031492557156,0.4463939711253844,0.5166990240832897,0.5892662618879004
9,0.44514104967632423,0.44942407427256914,0.4976320365922698,0.5796490782560401
10,0.44618097604665136,0.4504134957083845,0.48947237538103,0.5788831724728406
11,0.44696942369115117,0.4471030564877188,0.4861151658313775,0.5698757369611872
12,0.44374039562550693,0.44918908668156293,0.4748999494710532,0.5715380017429303
13,0.4458037579579103,0.4499311527584245,0.46783170174301425,0.5647019267968791
14,0.4456986316053103,0.44854596274828296,0.4621364317937897,0.5667484869442805
15,0.44406298923691667,0.4454581433506757,0.4597950778793404,0.5662602749508989
16,0.44690964596124133,0.4497621265964727,0.4601019598759138,0.5688105904529558
17,0.4458037579579103,0.44772556747441933,0.44724174862031874,0.5609736930886319
18,0.4492883873514446,0.451922363398003,0.44695580589177974,0.5576931015502931
19,0.4479815224975548,0.4513287105365138,0.4443080537596198,0.5655501245057594
20,0.44810829251098416,0.4502527147250645,0.44003646594433665,0.5566521007638444
21,0.44669836260552576,0.44655062951938856,0.4364829311928909,0.5626189000731631
22,0.4458192177156456,0.45176570500399893,0.43483036280734233,0.5618949310826387
23,0.44484216102677526,0.4487809503392891,0.42916676260255726,0.5526027292263562
24,0.4470054964592002,0.4473256763107773,0.4254848938067744,0.5548108097281897
